Specified	Condition	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount	CorrectCover	MatchCover	EpochComplete
[7, 18]	[[12.695999999999998, 282.2625], '1']	1.3422000000000005;8.3778	0.6896926319690548	0.6896926319690548	1	277.45364465419595	4993	201	0.1	277.45364465419595	704	915	209	270	1	GA_CrossoverC_MutationC
[7, 8, 4, 18, 10]	[[-45.269999999999996, 80.358], '0', '1', '0', '1']	-2.6678999999999995;4.047899999999999	0.9576896274457251	0.9576896274457251	1	292.4008969452466	4604	204	0.25	292.4008969452466	24	24	7	7	1	GA_CrossoverP_MutationC
[7, 11]	[[346.54949999999997, 504.8505], '0']	8.1325;16.5187	0.8801518227331234	0.8801518227331234	1	248.89725350985321	4998	216	0.1	248.89725350985321	1248	1248	378	378	1	GA_MutationC
[7, 10]	[[276.82623200595816, 504.8505], '1']	8.1325;16.5187	0.9000562851782363	0.9000562851782363	1	216.3955933675365	4813	216	0.1	216.3955933675365	411	411	125	125	1	GA_MutationC
[7, 9]	[[115.55099999999999, 302.5982220598517], '0']	1.3422000000000005;8.3778	0.6224231520470311	0.6224231520470311	1	282.4603804831322	4955	219	0.1	252.82547560391527	1112	1615	335	487	1	GA_CrossoverP_MutationC
[16]	['1']	1.3422000000000005;8.3778	0.41038387845906876	0.41038387845906876	1	292.40400659843374	4993	219	0.05	292.40400659843374	725	1565	216	471	1	GA_CrossoverP_MutationC
[7, 4]	[[218.45999999999998, 410.34], '0']	5.6419999999999995;12.038	0.6429031528002647	0.6429031528002647	1	295.3708671699647	4985	220	0.1	268.96358396245586	1084	1538	327	467	1	GA_MutationC_RangeError
[7, 1]	[[184.37248045439046, 319.70399999999995], '1']	5.6419999999999995;12.038	0.9236743113699794	0.9236743113699794	2	282.95357907127755	4944	220	0.1	565.9071581425551	452	452	134	134	1	GA_MutationC
[7, 15]	[[367.563, 530.37], '0']	12.3613;16.5187	0.9426323464360347	0.9426323464360347	1	276.17086954298566	4956	225	0.1	276.17086954298566	682	682	205	205	1	GA_CrossoverP_MutationC
[15, 6, 8]	['1', '0', '0']	-2.9178999999999995;5.5169999999999995	0.2866270914589758	0.2866270914589758	1	298.5825697346951	4970	229	0.15	298.5825697346951	335	1053	99	317	1	GA_MutationC
[7, 15, 12]	[[-45.269999999999996, 113.71991414946034], '1', '1']	-2.9178999999999995;5.5169999999999995	0.9383575332408842	0.9383575332408842	1	320.0595524086392	4970	229	0.15	320.0595524086392	159	159	46	46	1	GA_MutationC
[7, 4]	[[32.64718503300763, 420.798], '1']	5.6419999999999995;12.038	0.48514864801253477	0.48514864801253477	1	311.7784443204371	4993	238	0.1	311.7784443204371	329	619	100	186	1	GA_MutationC
[0]	['0']	5.6419999999999995;12.038	0.37163500151199336	0.37163500151199336	1	308.2951197826284	4993	238	0.05	285.11889972828544	794	1910	238	577	1	GA_MutationC
[7, 11, 8, 10]	[[-45.269999999999996, 77.655], '1', '0', '1']	-2.9178999999999995;3.7978999999999994	0.9557700125078173	0.9557700125078173	1	223.88607896234666	4977	242	0.2	223.88607896234666	15	15	4	4	1	GA_CrossoverP_MutationC
[7, 11, 4, 16]	[[-45.269999999999996, 77.655], '1', '0', '0']	-4.077;3.7978999999999994	0.9481709722422668	0.9481709722422668	1	260.2481762630214	4758	242	0.2	260.2481762630214	41	41	13	13	1	GA_CrossoverP_MutationC
[7, 4]	[[346.54949999999997, 504.8505], '0']	12.3613;16.5187	0.8252857638625296	0.8252857638625296	1	243.03718638648817	4990	247	0.1	243.03718638648817	995	1129	305	346	1	GA_CrossoverP_MutationC
[7, 6, 8]	[[-45.269999999999996, 113.71991414946034], '0', '0']	-2.9178999999999995;5.5169999999999995	0.9324157822519672	0.9324157822519672	1	323.1663395276367	4991	250	0.15	323.1663395276367	671	671	201	201	1	GA_CrossoverP_MutationC
[11, 8]	['0', '0']	-4.077;2.586423708822227	0.1210961458826112	0.1210961458826112	1	279.33343270928754	4970	250	0.1	279.33343270928754	404	3242	123	981	1	GA_CrossoverP_MutationC_MutationP
[4]	['0']	5.6419999999999995;12.038	0.35371396420421586	0.35371396420421586	4	280.8389048918599	4985	260	0.05	1003.1945244592995	1550	3936	470	1196	1	GA_CrossoverC
[7, 11, 18, 10, 16]	[[-45.269999999999996, 282.2625], '0', '1', '0', '0']	-2.026949999999999;7.726949999999999	0.6198826879504609	0.6198826879504609	1	277.6020407517998	4900	260	0.25	277.6020407517998	282	408	85	122	1	GA_CrossoverC_MutationC
[7]	[[367.563, 530.37]]	12.3613;16.5187	0.9396563575730533	0.9396563575730533	2	275.72188958510947	4990	263	0.05	551.4437791702189	1135	1135	349	349	1	GA_CrossoverP_MutationC
[7, 11]	[[367.563, 530.37], '0']	12.3613;16.5187	0.9397520121902815	0.9397520121902815	6	287.78924115856256	4990	263	0.1	1726.7354469513753	1053	1053	323	323	1	GA_CrossoverP_MutationC
[6, 11, 7]	['0', '0', [-45.269999999999996, 238.7055]]	-2.9178999999999995;5.5169999999999995	0.6051372043775084	0.6051372043775084	1	324.7948830340489	4991	277	0.15	305.74360379256115	1202	1823	361	549	1	GA_MutationC
[7, 11, 16]	[[-45.269999999999996, 113.71991414946034], '0', '0']	-2.9178999999999995;5.5169999999999995	0.9369515066814719	0.9369515066814719	1	327.35316520093295	4991	277	0.15	327.35316520093295	654	654	196	196	1	GA_MutationC
[7, 8, 9]	[[-45.269999999999996, 113.71991414946034], '0', '1']	-2.9178999999999995;5.5169999999999995	0.9294104269714025	0.9294104269714025	1	266.24626274240705	4952	278	0.15	266.24626274240705	105	105	33	33	1	GA_CrossoverC_MutationC
[7, 6, 2]	[[-45.269999999999996, 113.71991414946034], '0', '0']	-2.9178999999999995;5.5169999999999995	0.934421580934127	0.934421580934127	1	322.02519131180907	4991	278	0.15	322.02519131180907	923	923	278	278	1	GA_CrossoverC_MutationC
[7]	[[191.1375, 311.0625]]	5.6419999999999995;12.038	0.936982774899132	0.936982774899132	2	344.7643792256851	4993	280	0.05	661.4109480642128	1187	1187	361	361	1	GA_CrossoverC_MutationC
[7, 0]	[[162.3375, 319.70399999999995], '2']	5.6419999999999995;12.038	0.9217491701544234	0.9217491701544234	1	273.6319630547606	4802	280	0.1	273.6319630547606	213	213	65	65	1	GA_CrossoverC_MutationC
[7, 11, 8, 4, 12]	[[-45.269999999999996, 80.358], '0', '0', '1', '0']	-2.6678999999999995;4.047899999999999	0.9474392649251936	0.9474392649251936	1	316.88113236142914	4677	284	0.25	316.88113236142914	42	42	13	13	1	GA_CrossoverP_MutationC
[7, 11, 8, 4, 18, 5]	[[-45.269999999999996, 80.358], '0', '0', '1', '0', '1']	-2.6678999999999995;4.047899999999999	0.9617013758599124	0.9617013758599124	1	322.28323291077345	4991	284	0.3	322.28323291077345	34	34	10	10	1	GA_CrossoverP_MutationC
[3]	['2']	5.6419999999999995;12.038	0.36056607285908227	0.36056607285908227	1	294.7669970031381	4993	295	0.05	294.7669970031381	392	981	119	299	1	GA_CrossoverC_MutationC
[7]	[[30.093000000000018, 327.507]]	1.3422000000000005;8.3778	0.6348912514766173	0.6348912514766173	1	322.3514623423947	4993	295	0.05	302.68932792799336	2120	2960	641	900	1	GA_CrossoverC_MutationC
[7, 11, 6, 13]	[[-45.269999999999996, 113.71991414946034], '0', '1', '1']	-2.9178999999999995;5.5169999999999995	0.9292283371551664	0.9292283371551664	1	268.1457556108201	4850	300	0.2	268.1457556108201	58	58	18	18	1	GA_MutationC
[7, 11, 9]	[[-45.269999999999996, 113.71991414946034], '0', '0']	-4.077;5.5169999999999995	0.933443711084368	0.933443711084368	1	320.47971155134735	4991	304	0.15	320.47971155134735	837	837	251	251	1	GA_CrossoverP_MutationC
[7, 1]	[[-45.269999999999996, 81.258], '1']	-2.9178999999999995;3.357399405893651	0.9576985659721616	0.9576985659721616	1	319.5870339939255	4952	304	0.1	319.5870339939255	276	276	85	85	1	GA_CrossoverP_MutationC_MutationP
[7, 11]	[[367.563, 530.37], '0']	13.343480257383884;17.500880257383884	0.7443733565871943	0.7443733565871943	1	287.78924115856256	4990	305	0.1	287.78924115856256	811	1040	252	323	1	GA_MutationC_MutationP
[7, 2]	[[367.563, 530.37], '0']	13.343480257383884;17.500880257383884	0.7463754211593246	0.7463754211593246	1	275.72185673121226	4990	319	0.1	275.72185673121226	857	1096	268	342	1	GA_CrossoverP_MutationC
[7, 15, 8]	[[367.563, 530.37], '0', '0']	12.3613;16.5187	0.9424695265829487	0.9424695265829487	1	282.36760454908426	4893	319	0.15	282.36760454908426	531	531	163	163	1	GA_CrossoverP_MutationC
[7]	[[128.7495, 287.0505]]	5.6419999999999995;12.038	0.7326805816135085	0.7326805816135085	1	297.8231901016215	4993	321	0.05	272.0289876270269	1253	1569	384	480	1	GA_MutationC
[9, 8]	['0', '0']	-2.9178999999999995;5.5169999999999995	0.29360139640748406	0.29360139640748406	1	272.8144562363846	4991	327	0.1	272.8144562363846	950	2941	290	907	1	GA_CrossoverC_MutationC
[7, 8, 11]	[[-45.269999999999996, 113.71991414946034], '0', '0']	-2.9178999999999995;5.5169999999999995	0.9333945322969713	0.9333945322969713	2	331.6976742940835	4991	327	0.15	663.395348588167	687	687	210	210	1	GA_CrossoverC_MutationC
[10, 17]	['0', '0']	5.6419999999999995;12.038	0.3682376871238774	0.3682376871238774	1	294.45305715980373	4980	335	0.1	267.8163214497547	945	2309	292	713	1	GA_CrossoverP_MutationC
[7]	[[36.38850000000002, 319.4115]]	5.6419999999999995;12.038	0.5114598849105048	0.5114598849105048	1	322.42893448983625	4993	335	0.05	302.7861681122953	1553	2784	478	854	1	GA_CrossoverP_MutationC
[7, 9, 6, 8, 18, 0]	[[-45.269999999999996, 113.71991414946034], '0', '1', '0', '0', '2']	-2.9178999999999995;5.5169999999999995	0.9378778403168647	0.9378778403168647	1	229.12162475310174	4658	338	0.3	229.12162475310174	10	10	3	3	1	GA_CrossoverC_MutationC
[7, 11, 14]	[[-45.269999999999996, 113.71991414946034], '0', '1']	-2.9178999999999995;5.5169999999999995	0.9329562991258026	0.9329562991258026	1	323.650023078573	4972	338	0.15	323.650023078573	453	453	139	139	1	GA_CrossoverC_MutationC
[7, 18]	[[367.563, 530.37], '1']	12.3613;16.5187	0.9400118246172765	0.9400118246172765	1	290.1299250893015	4956	341	0.1	290.1299250893015	378	378	119	119	1	GA_CrossoverP_MutationC
[7, 8, 2]	[[-45.269999999999996, 113.71991414946034], '0', '0']	-2.9178999999999995;5.5169999999999995	0.9329517622522888	0.9329517622522888	1	323.1443632181715	4991	348	0.15	323.1443632181715	738	738	227	227	1	GA_CrossoverP_MutationC
[7, 8, 4, 6, 15]	[[-45.269999999999996, 80.358], '0', '1', '0', '1']	-2.6678999999999995;4.047899999999999	0.9499208880550344	0.9499208880550344	1	328.81208665035217	4941	348	0.25	328.81208665035217	33	33	10	10	1	GA_CrossoverP_MutationC
[7, 14]	[[191.1375, 319.70399999999995], '0']	5.6419999999999995;12.038	0.9251863764058886	0.9251863764058886	1	329.779834874783	4993	353	0.1	311.97479359347875	404	404	126	126	1	GA_CrossoverC_MutationC
[7, 15]	[[162.3375, 311.0625], '0']	5.6419999999999995;12.038	0.9155210440689132	0.9155210440689132	1	284.8032172721986	4993	353	0.1	284.8032172721986	905	905	281	281	1	GA_CrossoverC_MutationC
[7, 8, 17]	[[-45.269999999999996, 113.71991414946034], '0', '1']	-2.9178999999999995;5.5169999999999995	0.9294563566514786	0.9294563566514786	1	302.04083250841336	4977	354	0.15	302.04083250841336	229	229	70	70	1	GA_CrossoverP_MutationC
[7, 9, 18]	[[-45.269999999999996, 113.71991414946034], '1', '1']	-2.9178999999999995;5.5169999999999995	0.9388508442776735	0.9388508442776735	1	242.32984283166564	4873	354	0.15	242.32984283166564	63	63	20	20	1	GA_CrossoverP_MutationC
[7, 13]	[[367.563, 530.37], '0']	12.3613;16.5187	0.937851763751154	0.937851763751154	1	275.37492474703856	4990	356	0.1	275.37492474703856	532	532	168	168	1	GA_MutationC
[7, 10]	[[367.563, 530.37], '0']	12.3613;16.5187	0.9393880200396005	0.9393880200396005	2	277.30997006265227	4990	356	0.1	554.6199401253045	881	881	277	277	1	GA_MutationC
[7, 11, 8, 9]	[[-45.269999999999996, 77.655], '1', '0', '0']	-4.077;3.7978999999999994	0.9571841776110068	0.9571841776110068	1	280.8362012602309	4977	364	0.2	280.8362012602309	44	44	14	14	1	GA_CrossoverP_MutationC
[7]	[[183.075, 422.925]]	5.6419999999999995;12.038	0.6515081743761659	0.6515081743761659	1	302.4097652841318	4993	368	0.05	277.76220660516475	1642	2289	510	713	1	GA_CrossoverC_MutationC
[8]	['1']	5.6419999999999995;12.038	0.3494889473093935	0.3494889473093935	2	286.73126326354105	4985	368	0.05	516.3281581588526	416	1062	128	329	1	GA_CrossoverC_MutationC
[7, 11, 12]	[[-45.269999999999996, 113.71991414946034], '0', '1']	-2.9178999999999995;5.5169999999999995	0.9380132638869443	0.9380132638869443	2	315.641720377316	4970	369	0.15	631.283440754632	433	433	134	134	1	GA_MutationC
[7, 16]	[[367.563, 530.37], '2']	12.3613;16.5187	0.9440066708359391	0.9440066708359391	1	270.31219149434327	4700	380	0.1	270.31219149434327	50	50	15	15	1	GA_CrossoverC_MutationC
[7, 15, 12]	[[367.563, 530.37], '0', '1']	12.3613;16.5187	0.9440745860899904	0.9440745860899904	1	289.45468119468705	4942	380	0.15	289.45468119468705	300	300	95	95	1	GA_CrossoverC_MutationC
[11, 12, 5]	['0', '1', '0']	-2.9178999999999995;5.5169999999999995	0.29649318953276604	0.29649318953276604	1	267.09072109790606	4946	391	0.15	267.09072109790606	329	1018	102	318	1	GA_MutationC
